pair,n_obs,a_DCC,b_DCC,loglik_DCC,a_ADCC,b_ADCC,g_ADCC,loglik_ADCC,mean_rho_DCC,sd_rho_DCC,min_rho_DCC,max_rho_DCC,corr_const_naive,loglik_CCC,LR_stat_vs_CCC,LR_pvalue_vs_CCC
BUIDL-ETH,527,1.0000003769078392e-06,0.03157461881637569,0.0262696578597436,1.000000000001e-06,1.0000000000287557e-06,1.000000000001e-06,0.02626952899140366,0.011100577529908517,8.580972938393563e-07,0.011092289854797337,0.011106524687118277,0.011100578751962721,0.026272929660620822,0.0,1.0
BUIDL-UNI,527,0.004846624475315184,0.8357993194553123,0.222140118940576,1.0000000030714606e-06,0.702635003014305,1.000000000679277e-06,0.2177018102103351,0.029972672492698665,0.007388790362902028,-0.004958552813758934,0.07579339209164497,0.03000238167605255,0.21770268907417498,0.008874859732802054,0.9955724009789042
BUIDL-AAVE,527,1e-06,1.0000030764966555e-06,0.48588959042348107,1.000000011315606e-06,0.020184197861030335,0.2999999999999747,0.9568084398374094,0.043621805326792766,9.381414704738201e-07,0.04361709274054619,0.043630386276525934,0.04362180536366425,0.4858928415015973,0.0,1.0
BUIDL-GLD,527,0.03609179286135757,1e-06,0.6575392423426678,0.03609176646371085,1e-06,1.0000000442386538e-06,0.6575333647907153,0.04020059672070192,0.02561613431633024,-0.20507618495061805,0.19820308708595863,0.039887901196057236,0.43321632898503726,0.4486458267152611,0.7990570665045438
OUSG-BTC,879,0.010039728662029634,0.2001698474334289,0.060599259008417006,1e-06,0.8495038173011811,0.1484951826989321,0.6809696349349033,0.01306924305814084,0.008539502667232987,-0.07411200210229812,0.11406622180557739,0.013068618697875938,0.05959085953492677,0.0020167989469804665,0.9989921087904001
OUSG-ETH,879,0.006687024989014297,0.980195302543986,0.7743480956980604,0.033010926526137914,0.2558898270983053,1e-06,0.39583279985196074,0.028136127307142718,0.03904344397456662,-0.08276683169643036,0.1429623760293001,0.029775020668489326,0.3515538300238569,0.8455885313484071,0.6552134191373137
OUSG-UNI,879,0.05002578953059082,0.8300882860203769,1.157723030388619,0.03633316890673395,0.8608052950875046,0.09475674158607553,1.4098589813350684,0.015036872903776526,0.07048069819721282,-0.4018138733750389,0.28364188694582465,0.0161261024364951,0.08339707388170214,2.1486519130138335,0.34152788238127596
OUSG-AAVE,879,0.08976569549321337,0.42957689931772713,0.5619858750452533,0.08976531935680977,0.42957737833194937,1e-06,0.5619800692506062,0.010915223638940664,0.06559408728784134,-0.5474683066821161,0.528870599685732,0.010236534233221769,0.04272665191803608,1.0385184462544346,0.594961118204498
OUSG-GLD,879,1.000000543885382e-06,1.000000022566283e-06,0.3602447043475226,0.012356299610758978,0.6864327570723977,0.2992109433330169,0.7728494563440087,0.028880223202569857,8.30040992604782e-07,0.02887223433731728,0.028887886533900543,0.028880222420058863,0.36025066164183767,0.0,1.0
sUSDS-BTC,370,0.30000000000000004,1.0000000000287557e-06,1.5233627135649543,0.29999999999999083,1.0000000259205035e-06,0.22377105774952877,1.5892334770869165,-0.0075125194374926745,0.18162015535694012,-0.7281198356790803,0.7804061346628016,-0.009465726142125154,0.00871151225347646,3.029302402622956,0.21988486702690735
sUSDS-ETH,370,1.000000000001e-06,1.0000000000287557e-06,0.08181329822257488,1.0000000218850384e-06,0.6979990000844508,0.3,1.540792585387397,-0.026199245002695895,1.0996235005333965e-06,-0.02620541681578363,-0.026188271476760783,-0.026199246356955946,0.08181655620875608,0.0,1.0
sUSDS-UNI,370,1.0000000044403942e-06,1.000000000001e-06,0.23384687571424845,1e-06,0.3833540633155683,0.3,1.0266098695176262,-0.04818831342392632,1.2260181596245016e-06,-0.048194386777090904,-0.04817559355982475,-0.04818831425914242,0.23386009931010673,0.0,1.0
sUSDS-AAVE,370,1.0000000123105979e-06,1.0000000008059118e-06,0.0009099354377662589,1.000000014121474e-06,0.19195009723877457,0.29999999999994287,0.5030110103144485,0.001999463724866487,1.1929686399812192e-06,0.001994368060902221,0.002010090929687568,0.00199946228521345,0.000914073369504969,0.0,1.0
sUSDS-GLD,370,0.10654423017520698,0.29073977553739627,0.2004704385971737,1.000000000001e-06,9.999999999732445e-07,0.3,0.4090013640789662,0.020851479123234845,0.09411460464987549,-0.4501984055842818,0.4424668757922142,0.021053339958961532,0.041287771180087744,0.3183653348341719,0.8528405585577175
SHV-FANG,905,1.0000030592066667e-06,1.0000003685117775e-06,0.0275501944612652,1.000000000303981e-06,1e-06,0.13591466043449574,0.038177083609448034,0.008052998060857493,1.2918645989256929e-06,0.008041709680043191,0.00805888581815031,0.00805298856867506,0.027552695350399895,0.0,1.0
IEF-FANG,905,0.05912309897244203,0.8596085079765539,10.440225093930218,0.038870146792515,0.8526019825351795,0.10052716324551321,13.398320417375505,0.04521776811305497,0.15184987779385237,-0.4243776142131176,0.47575828348566657,0.043935362167222505,0.8720154210657846,19.136419345728868,6.991644492071458e-05
SHV-SOXX,905,0.10789902410483643,0.376525368303754,1.1903962190245323,0.12125236918609364,1.000000000389666e-06,0.2999999999999997,1.3270960419167857,-0.003572860819779271,0.11487289117722037,-0.4933277727225653,0.4691485491033037,-0.005361091249826528,0.006831763971291607,2.3671289101064814,0.3061854070717138
IEF-SOXX,905,0.02974306010953434,0.9348424485201147,6.89489416672151,0.021969072959966807,0.9269714413765313,0.04905948566349543,9.142204139716817,0.018674304715037882,0.1184851239831615,-0.37086676525283224,0.33691833588846204,0.019576517815070544,0.17361871938593176,13.442550894671157,0.0012050003189683078
IEF-BTC,905,0.03342321085978911,0.8449178193185332,1.7772978757042106,0.033422984063040465,0.84491798379003,1e-06,1.777294287047849,0.001435955124307288,0.07098596666203591,-0.2528359322954474,0.1988130212998736,0.0004889662899322366,9.867626453377402e-05,3.5543983988793535,0.1691111311435154
IEF-ETH,905,0.030233771170490326,0.787530304164753,1.5861561244672813,0.02835153500465773,0.787702492556314,0.01027539224581338,1.612471157729386,0.020835265916981646,0.05608028310418313,-0.23261814286476473,0.22787713190131886,0.02023552159940046,0.1847566211491355,2.802799006636292,0.24625209205329057
IEF-GLD,905,0.032962132983309494,0.9481466425683538,60.59202284538216,0.032961834207783085,0.9481466700589882,1e-06,60.59200682607216,0.31602371308236377,0.15676051334024915,-0.09220836635053467,0.5899273618303207,0.3115105226325804,46.17506546232151,28.833914766121296,5.480181757278046e-07
SHV-BTC,905,0.0068419493758235545,1.0000000186244545e-06,0.014619389639836191,0.007439820422657639,1.0000000346471447e-06,0.299999999999987,0.13302880572053122,0.0013160661222867312,0.008776521439959968,-0.0625965473358982,0.09103629793981359,0.0012875287725874318,0.001386505065639353,0.026465769148393676,0.9868542851170942
SHV-ETH,905,0.0025966276512728007,1e-06,0.09918873328724523,1.0000172096652493e-06,1.000000133033474e-06,0.29999999999881116,0.10188115748535445,0.02087579775852622,0.0034464784377431536,-0.0026986032937117476,0.06196249617327356,0.020882462759902902,0.09584574924365633,0.006685968087177807,0.9966625975061594
SHV-GLD,905,0.05019442264527028,0.9117808443811624,6.389816025261631,0.038942101416147665,0.8981823998296574,0.060875498766517995,7.257821114915102,0.12056282137270624,0.14660200306116372,-0.26175190703939083,0.6240623349939683,0.13998881875994598,3.418099046313368,5.943433957896525,0.051215299206349485
